Date,CL=F,RUB=X
2023-01-03,76.93000030517578,70.99549865722656
2023-01-04,72.83999633789062,73.01499938964844
2023-01-05,73.66999816894531,72.46499633789062
2023-01-06,73.7699966430664,72.11499786376953
2023-01-09,74.62999725341797,72.46499633789062
2023-01-10,75.12000274658203,69.87999725341797
2023-01-11,77.41000366210938,69.63999938964844
2023-01-12,78.38999938964844,69.11900329589844
2023-01-13,79.86000061035156,67.75
2023-01-17,80.18000030517578,68.71499633789062
2023-01-18,79.4800033569336,68.46499633789062
2023-01-19,80.33000183105469,68.71499633789062
2023-01-20,81.30999755859375,69.36499786376953
2023-01-23,81.62000274658203,68.21499633789062
2023-01-24,80.12999725341797,68.94499969482422
2023-01-25,80.1500015258789,69.41500091552734
2023-01-26,81.01000213623047,69.19499969482422
2023-01-27,79.68000030517578,69.46499633789062
2023-01-30,77.9000015258789,70.69249725341797
2023-01-31,78.87000274658203,69.87999725341797
2023-02-01,76.41000366210938,70.55000305175781
2023-02-02,75.87999725341797,69.9000015258789
2023-02-03,73.38999938964844,75.03099822998047
2023-02-06,74.11000061035156,70.61499786376953
2023-02-07,77.13999938964844,71.4749984741211
2023-02-08,78.47000122070312,72.0999984741211
2023-02-09,78.05999755859375,73.22100067138672
2023-02-10,79.72000122070312,73.00499725341797
2023-02-13,80.13999938964844,73.07499694824219
2023-02-14,79.05999755859375,74.06400299072266
2023-02-15,78.58999633789062,73.56500244140625
2023-02-16,78.48999786376953,73.96499633789062
2023-02-17,76.33999633789062,74.68000030517578
2023-02-21,76.16000366210938,75.46399688720703
2023-02-22,73.94999694824219,74.61499786376953
2023-02-23,75.38999938964844,74.86499786376953
2023-02-24,76.31999969482422,75.36499786376953
2023-02-27,75.68000030517578,75.9800033569336
2023-02-28,77.05000305175781,74.61499786376953
2023-03-01,77.69000244140625,75.01499938964844
2023-03-02,78.16000366210938,75.2300033569336
2023-03-03,79.68000030517578,75.48999786376953
2023-03-06,80.45999908447266,75.36499786376953
2023-03-07,77.58000183105469,75.36499786376953
2023-03-08,76.66000366210938,75.56500244140625
2023-03-09,75.72000122070312,76.01499938964844
2023-03-10,76.68000030517578,75.81500244140625
2023-03-13,74.80000305175781,76.16500091552734
2023-03-14,71.33000183105469,75.51499938964844
2023-03-15,67.61000061035156,75.71499633789062
2023-03-16,68.3499984741211,5.0
2023-03-17,66.73999786376953,76.46499633789062
2023-03-20,67.63999938964844,76.92500305175781
2023-03-21,69.33000183105469,77.46499633789062
2023-03-22,70.9000015258789,77.21499633789062
2023-03-23,69.95999908447266,76.88999938964844
2023-03-24,69.26000213623047,75.96499633789062
2023-03-27,72.80999755859375,77.24500274658203
2023-03-28,73.19999694824219,76.5
2023-03-29,72.97000122070312,76.5250015258789
2023-03-30,74.37000274658203,77.29000091552734
2023-03-31,75.66999816894531,77.23999786376953
2023-04-03,80.41999816894531,77.96499633789062
2023-04-04,80.70999908447266,78.61499786376953
2023-04-05,80.61000061035156,79.26499938964844
2023-04-06,80.69999694824219,80.16500091552734
2023-04-10,79.73999786376953,81.06500244140625
2023-04-11,81.52999877929688,81.625
2023-04-12,83.26000213623047,81.06500244140625
2023-04-13,82.16000366210938,82.01499938964844
2023-04-14,82.5199966430664,81.66500091552734
2023-04-17,80.83000183105469,81.51499938964844
2023-04-18,80.86000061035156,82.01499938964844
2023-04-19,79.16000366210938,81.76499938964844
2023-04-20,77.29000091552734,81.66500091552734
2023-04-21,77.87000274658203,81.76499938964844
2023-04-24,78.76000213623047,81.41500091552734
2023-04-25,77.06999969482422,81.45999908447266
2023-04-26,74.30000305175781,80.81600189208984
2023-04-27,74.76000213623047,81.76499938964844
2023-04-28,76.77999877929688,81.81500244140625
2023-05-01,75.66000366210938,80.41500091552734
2023-05-02,71.66000366210938,80.66500091552734
2023-05-03,68.5999984741211,80.07499694824219
2023-05-04,68.55999755859375,79.46499633789062
2023-05-05,71.33999633789062,78.46499633789062
2023-05-08,73.16000366210938,77.7750015258789
2023-05-09,73.70999908447266,77.69000244140625
2023-05-10,72.55999755859375,77.96499633789062
2023-05-11,70.87000274658203,77.69000244140625
2023-05-12,70.04000091552734,76.96499633789062
2023-05-15,71.11000061035156,77.32499694824219
2023-05-16,70.86000061035156,79.71499633789062
2023-05-17,72.83000183105469,80.45500183105469
2023-05-18,71.86000061035156,79.71499633789062
2023-05-19,71.55000305175781,80.36499786376953
2023-05-22,71.98999786376953,80.06500244140625
2023-05-23,72.91000366210938,80.46499633789062
2023-05-24,74.33999633789062,80.125
2023-05-25,71.83000183105469,80.06500244140625
2023-05-26,72.66999816894531,79.98999786376953
2023-05-30,69.45999908447266,80.21499633789062
2023-05-31,68.08999633789062,79.61000061035156
2023-06-01,70.0999984741211,81.51499938964844
2023-06-02,71.73999786376953,80.96499633789062
2023-06-05,72.1500015258789,80.76499938964844
2023-06-06,71.73999786376953,80.56500244140625
2023-06-07,72.52999877929688,81.31500244140625
2023-06-08,71.29000091552734,81.51499938964844
2023-06-09,70.16999816894531,81.9749984741211
2023-06-12,67.12000274658203,82.69000244140625
2023-06-13,69.41999816894531,83.84500122070312
2023-06-14,68.2699966430664,83.91500091552734
2023-06-15,70.62000274658203,83.96499633789062
2023-06-16,71.77999877929688,83.44499969482422
2023-06-20,70.5,83.81500244140625
2023-06-21,72.52999877929688,84.71399688720703
2023-06-22,69.51000213623047,83.61499786376953
2023-06-23,69.16000366210938,80.94999694824219
2023-06-26,69.37000274658203,83.61499786376953
2023-06-27,67.69999694824219,84.375
2023-06-28,69.55999755859375,85.33999633789062
2023-06-29,69.86000061035156,85.8550033569336
2023-06-30,70.63999938964844,86.82499694824219
2023-07-03,69.79000091552734,87.91500091552734
2023-07-05,71.79000091552734,89.96499633789062
2023-07-06,71.80000305175781,91.21499633789062
2023-07-07,73.86000061035156,91.21499633789062
2023-07-10,72.98999786376953,91.2249984741211
2023-07-11,74.83000183105469,90.51499938964844
2023-07-12,75.75,90.46499633789062
2023-07-13,76.88999938964844,90.46499633789062
2023-07-14,75.41999816894531,90.09500122070312
2023-07-17,74.1500015258789,90.21499633789062
2023-07-18,75.75,90.56999969482422
2023-07-19,75.3499984741211,90.96499633789062
2023-07-20,75.62999725341797,91.91500091552734
2023-07-21,77.06999969482422,90.06500244140625
2023-07-24,78.73999786376953,90.46499633789062
2023-07-25,79.62999725341797,90.41500091552734
2023-07-26,78.77999877929688,90.16500091552734
2023-07-27,80.08999633789062,89.96499633789062
2023-07-28,80.58000183105469,90.66500091552734
2023-07-31,81.80000305175781,92.0250015258789
2023-08-01,81.37000274658203,91.61499786376953
2023-08-02,79.48999786376953,92.375
2023-08-03,81.55000305175781,94.01499938964844
2023-08-04,82.81999969482422,94.96499633789062
2023-08-07,81.94000244140625,95.83999633789062
2023-08-08,82.91999816894531,95.71499633789062
2023-08-09,84.4000015258789,97.16999816894531
2023-08-10,82.81999969482422,96.83999633789062
2023-08-11,83.19000244140625,96.98999786376953
2023-08-14,82.51000213623047,99.95999908447266
2023-08-15,80.98999786376953,96.96499633789062
2023-08-16,79.37999725341797,98.46499633789062
2023-08-17,80.38999938964844,94.46399688720703
2023-08-18,81.25,94.46499633789062
2023-08-21,80.72000122070312,95.16500091552734
2023-08-22,80.3499984741211,93.46499633789062
2023-08-23,78.88999938964844,94.46499633789062
2023-08-24,79.05000305175781,94.96600341796875
2023-08-25,79.83000183105469,94.46499633789062
2023-08-28,80.0999984741211,95.46499633789062
2023-08-29,81.16000366210938,94.46499633789062
2023-08-30,81.62999725341797,95.38999938964844
2023-08-31,83.62999725341797,96.26499938964844
2023-09-01,85.55000305175781,95.83999633789062
2023-09-05,86.69000244140625,96.21499633789062
2023-09-06,87.54000091552734,96.73500061035156
2023-09-07,86.87000274658203,97.76499938964844
2023-09-08,87.51000213623047,98.46499633789062
2023-09-11,87.29000091552734,97.71499633789062
2023-09-12,88.83999633789062,95.01499938964844
2023-09-13,88.5199966430664,94.86900329589844
2023-09-14,90.16000366210938,95.96499633789062
2023-09-15,90.7699966430664,95.46499633789062
2023-09-18,91.4800033569336,96.76499938964844
2023-09-19,91.19999694824219,95.91500091552734
2023-09-20,90.27999877929688,97.46600341796875
2023-09-21,89.62999725341797,95.98999786376953
2023-09-22,90.02999877929688,96.06400299072266
2023-09-25,89.68000030517578,96.26499938964844
2023-09-26,90.38999938964844,94.80500030517578
2023-09-27,93.68000030517578,96.56500244140625
2023-09-28,91.70999908447266,96.06999969482422
2023-09-29,90.79000091552734,96.61499786376953
2023-10-02,88.81999969482422,97.96499633789062
2023-10-03,89.2300033569336,98.76499938964844
2023-10-04,84.22000122070312,100.96499633789062
2023-10-05,82.30999755859375,99.46499633789062
2023-10-06,82.79000091552734,100.08999633789062
2023-10-09,86.37999725341797,100.96499633789062
2023-10-10,85.97000122070312,99.21499633789062
2023-10-11,83.48999786376953,100.26480102539062
2023-10-12,82.91000366210938,97.71600341796875
2023-10-13,87.69000244140625,97.69000244140625
2023-10-16,86.66000366210938,97.66500091552734
2023-10-17,86.66000366210938,97.31500244140625
2023-10-18,88.31999969482422,97.99500274658203
2023-10-19,89.37000274658203,98.07499694824219
2023-10-20,88.75,96.1500015258789
2023-10-23,85.48999786376953,95.41500091552734
2023-10-24,83.73999786376953,94.46499633789062
2023-10-25,85.38999938964844,93.44499969482422
2023-10-26,83.20999908447266,93.96499633789062
2023-10-27,85.54000091552734,93.61499786376953
2023-10-30,82.30999755859375,94.16500091552734
2023-10-31,81.0199966430664,92.5199966430664
2023-11-01,80.44000244140625,93.29000091552734
2023-11-02,82.45999908447266,92.57499694824219
2023-11-03,80.51000213623047,93.23999786376953
2023-11-06,80.81999969482422,91.69599914550781
2023-11-07,77.37000274658203,92.62000274658203
2023-11-08,75.33000183105469,92.06500244140625
2023-11-09,75.73999786376953,91.81500244140625
2023-11-10,77.16999816894531,91.63999938964844
2023-11-13,78.26000213623047,92.16999816894531
2023-11-14,78.26000213623047,91.87999725341797
2023-11-15,76.66000366210938,90.5
2023-11-16,72.9000015258789,89.41999816894531
2023-11-17,75.88999938964844,89.31500244140625
2023-11-20,77.5999984741211,89.33999633789062
2023-11-21,77.7699966430664,88.5199966430664
2023-11-22,77.0999984741211,88.20999908447266
2023-11-23,76.3499984741211,88.36499786376953
2023-11-24,75.54000091552734,88.23999786376953
2023-11-27,74.86000061035156,89.24500274658203
2023-11-28,76.41000366210938,89.04000091552734
2023-11-29,77.86000061035156,88.84500122070312
2023-11-30,75.95999908447266,88.66500091552734
2023-12-01,74.06999969482422,89.94000244140625
2023-12-04,73.04000091552734,91.19000244140625
2023-12-05,72.31999969482422,91.46499633789062
2023-12-06,69.37999725341797,90.17749786376953
2023-12-07,69.33999633789062,92.76499938964844
2023-12-08,71.2300033569336,92.4000015258789
2023-12-11,71.31999969482422,92.12000274658203
2023-12-12,68.61000061035156,90.92500305175781
2023-12-13,69.47000122070312,90.26499938964844
2023-12-14,71.58000183105469,89.31500244140625
2023-12-15,71.43000030517578,89.48999786376953
2023-12-18,72.47000122070312,90.61499786376953
2023-12-19,73.44000244140625,90.48999786376953
2023-12-20,74.22000122070312,90.44000244140625
2023-12-21,73.88999938964844,90.05500030517578
2023-12-22,73.55999755859375,92.86000061035156
2023-12-26,75.56999969482422,91.9574966430664
2023-12-27,74.11000061035156,91.59500122070312
2023-12-28,71.7699966430664,91.61000061035156
2023-12-29,71.6500015258789,88.44000244140625
2024-01-02,70.37999725341797,89.21499633789062
2024-01-03,72.69999694824219,90.3949966430664
2024-01-04,72.19000244140625,91.96499633789062
2024-01-05,73.80999755859375,91.31500244140625
2024-01-08,70.7699966430664,90.8949966430664
2024-01-09,72.23999786376953,90.8949966430664
2024-01-10,71.37000274658203,90.8949966430664
2024-01-11,72.0199966430664,90.88999938964844
2024-01-12,72.68000030517578,89.88999938964844
2024-01-16,72.4000015258789,89.88999938964844
2024-01-17,72.55999755859375,87.94999694824219
2024-01-18,74.08000183105469,88.62000274658203
2024-01-19,73.41000366210938,88.62000274658203
2024-01-22,75.19000244140625,89.41999816894531
2024-01-23,74.37000274658203,87.98999786376953
2024-01-24,75.08999633789062,87.98999786376953
2024-01-25,77.36000061035156,88.69000244140625
2024-01-26,78.01000213623047,88.0
2024-01-29,76.77999877929688,88.0
2024-01-30,77.81999969482422,89.2699966430664
2024-01-31,75.8499984741211,89.73999786376953
2024-02-01,73.81999969482422,89.9800033569336
2024-02-02,72.27999877929688,90.41000366210938
2024-02-05,72.77999877929688,90.98999786376953
2024-02-06,73.30999755859375,90.98999786376953
2024-02-07,73.86000061035156,90.51000213623047
2024-02-08,76.22000122070312,90.51000213623047
2024-02-09,76.83999633789062,91.16999816894531
2024-02-12,76.91999816894531,91.37000274658203
2024-02-13,77.87000274658203,91.37000274658203
2024-02-14,76.63999938964844,91.5
2024-02-15,78.02999877929688,91.63999938964844
2024-02-16,79.19000244140625,92.2699966430664
2024-02-20,78.18000030517578,92.47000122070312
2024-02-21,77.91000366210938,92.0999984741211
2024-02-22,78.61000061035156,92.0999984741211
2024-02-23,76.48999786376953,93.04000091552734
2024-02-26,77.58000183105469,93.04000091552734
2024-02-27,78.87000274658203,91.87000274658203
2024-02-28,78.54000091552734,91.87000274658203
2024-02-29,78.26000213623047,91.87000274658203
2024-03-01,79.97000122070312,91.48999786376953
2024-03-04,78.73999786376953,91.48999786376953
2024-03-05,78.1500015258789,91.48999786376953
2024-03-06,79.12999725341797,91.61000061035156
2024-03-07,78.93000030517578,90.80999755859375
2024-03-08,78.01000213623047,90.80999755859375
2024-03-11,77.93000030517578,90.94000244140625
2024-03-12,77.55999755859375,90.48999786376953
2024-03-13,79.72000122070312,91.72000122070312
2024-03-14,81.26000213623047,91.33999633789062
2024-03-15,81.04000091552734,91.33999633789062
2024-03-18,82.72000122070312,92.5199966430664
2024-03-19,83.47000122070312,92.5199966430664
2024-03-20,81.68000030517578,91.44000244140625
2024-03-21,81.06999969482422,91.44000244140625
2024-03-22,80.62999725341797,92.3499984741211
2024-03-25,81.94999694824219,92.12000274658203
2024-03-26,81.62000274658203,92.4749984741211
2024-03-27,81.3499984741211,92.47000122070312
2024-03-28,83.16999816894531,92.44000244140625
2024-04-01,83.70999908447266,92.56999969482422
2024-04-02,85.1500015258789,92.27999877929688
2024-04-03,85.43000030517578,92.27999877929688
2024-04-04,86.58999633789062,92.44999694824219
2024-04-05,86.91000366210938,92.44999694824219
2024-04-08,86.43000030517578,92.56999969482422
2024-04-09,85.2300033569336,92.62000274658203
2024-04-10,86.20999908447266,92.62000274658203
2024-04-11,85.0199966430664,92.88999938964844
2024-04-12,85.66000366210938,92.88999938964844
2024-04-15,85.41000366210938,93.30000305175781
2024-04-16,85.36000061035156,93.30000305175781
2024-04-17,82.69000244140625,93.30000305175781
2024-04-18,82.7300033569336,94.13999938964844
2024-04-19,83.13999938964844,93.69999694824219
2024-04-22,82.8499984741211,93.69999694824219
2024-04-23,83.36000061035156,93.0199966430664
2024-04-24,82.80999755859375,93.0199966430664
2024-04-25,83.56999969482422,93.47000122070312
2024-04-26,83.8499984741211,92.2699966430664
2024-04-29,82.62999725341797,92.2699966430664
2024-04-30,81.93000030517578,93.41999816894531
2024-05-01,79.0,93.41999816894531
2024-05-02,78.94999694824219,93.26000213623047
2024-05-03,78.11000061035156,93.26000213623047
2024-05-06,78.4800033569336,93.26000213623047
2024-05-07,78.37999725341797,91.06999969482422
2024-05-08,78.98999786376953,91.06999969482422
2024-05-09,79.26000213623047,91.27999877929688
2024-05-10,78.26000213623047,91.62000274658203
2024-05-13,79.12000274658203,91.62000274658203
2024-05-14,78.0199966430664,91.62000274658203
2024-05-15,78.62999725341797,91.31999969482422
2024-05-16,79.2300033569336,90.74500274658203
2024-05-17,80.05999755859375,90.74500274658203
2024-05-20,79.80000305175781,90.74500274658203
2024-05-21,79.26000213623047,90.29000091552734
2024-05-22,77.56999969482422,90.31999969482422
2024-05-23,76.87000274658203,90.31999969482422
2024-05-24,77.72000122070312,91.62000274658203
2024-05-28,79.83000183105469,91.62000274658203
2024-05-29,79.2300033569336,91.62000274658203
2024-05-30,77.91000366210938,89.56999969482422
2024-05-31,76.98999786376953,89.56999969482422
2024-06-03,74.22000122070312,90.41999816894531
2024-06-04,73.25,89.31999969482422
2024-06-05,74.06999969482422,88.52999877929688
2024-06-06,75.55000305175781,89.04549407958984
2024-06-07,75.52999877929688,89.32048797607422
2024-06-10,77.73999786376953,88.8342514038086
2024-06-11,77.9000015258789,88.8700180053711
2024-06-12,78.5,89.24626922607422
2024-06-13,78.62000274658203,88.9970932006836
2024-06-14,78.44999694824219,87.87535095214844
2024-06-17,80.33000183105469,88.06436157226562
2024-06-18,81.56999969482422,88.72040557861328
2024-06-20,82.16999816894531,83.49625396728516
2024-06-21,80.7300033569336,87.37244415283203
2024-06-24,81.62999725341797,87.3442153930664
2024-06-25,80.83000183105469,87.99541473388672
2024-06-26,80.9000015258789,87.4979476928711
2024-06-27,81.73999786376953,88.2453842163086
2024-06-28,81.54000091552734,84.99630737304688
2024-07-01,83.37999725341797,85.50910186767578
2024-07-02,82.80999755859375,86.7470474243164
2024-07-03,83.87999725341797,87.84622192382812
2024-07-08,82.33000183105469,87.1934585571289
2024-07-09,81.41000366210938,86.61963653564453
2024-07-10,82.0999984741211,86.4906997680664
2024-07-11,82.62000274658203,88.34503173828125
2024-07-12,82.20999908447266,86.99708557128906
2024-07-15,81.91000366210938,86.76679992675781
2024-07-16,80.76000213623047,87.99429321289062
2024-07-17,82.8499984741211,88.49625396728516
2024-07-18,82.81999969482422,88.4801025390625
2024-07-19,80.12999725341797,88.39669799804688
2024-07-22,79.77999877929688,86.88471984863281
2024-07-23,76.95999908447266,87.84465789794922
2024-07-24,77.58999633789062,87.84552001953125
2024-07-25,78.27999877929688,86.23690795898438
2024-07-26,77.16000366210938,84.9942855834961
2024-07-29,77.16999816894531,86.58000183105469
